activity,parkCode,states,fullName
Horse Trekking,olsp,"AZ,CA,CO,NV,NM,UT",Old Spanish National Historic Trail
Horse Trekking,olym,WA,Olympic National Park
Horse Trekking,oreg,"ID,KS,MO,NE,OR,WA,WY",Oregon National Historic Trail
Horse Trekking,orpi,AZ,Organ Pipe Cactus National Monument
Horse Trekking,ovvi,"NC,SC,TN,VA",Overmountain Victory National Historic Trail
Horse Trekking,ozar,MO,Ozark National Scenic Riverways
Horse Trekking,pefo,AZ,Petrified Forest National Park
Horse Trekking,peri,AR,Pea Ridge National Military Park
Horse Trekking,pete,VA,Petersburg National Battlefield
Horse Trekking,poex,"CA,CO,KS,MO,NE,NV,UT,WY",Pony Express National Historic Trail
Horse Trekking,pore,CA,Point Reyes National Seashore
Horse Trekking,redw,CA,Redwood National and State Parks
Horse Trekking,rocr,DC,Rock Creek Park
Horse Trekking,samo,CA,Santa Monica Mountains National Recreation Area
Horse Trekking,sara,NY,Saratoga National Historical Park
Horse Trekking,seki,CA,Sequoia & Kings Canyon National Parks
Horse Trekking,shen,VA,Shenandoah National Park
Horse Trekking,thro,ND,Theodore Roosevelt National Park
Horse Trekking,tusk,NV,Tule Springs Fossil Beds National Monument
Horse Trekking,vafo,PA,Valley Forge National Historical Park
Horse Trekking,vall,NM,Valles Caldera National Preserve
Horse Trekking,whis,CA,Whiskeytown National Recreation Area
Horse Trekking,wica,SD,Wind Cave National Park
Horse Trekking,wicr,MO,Wilson's Creek National Battlefield
Horse Trekking,yell,"ID,MT,WY",Yellowstone National Park
Horse Trekking,york,VA,Yorktown Battlefield Part of Colonial National Historical Park
Horse Trekking,yose,CA,Yosemite National Park
Hunting and Gathering,alag,AK,Alagnak Wild River
Hunting and Gathering,amis,TX,Amistad National Recreation Area
Hunting and Gathering,apis,WI,Apostle Islands National Lakeshore
Hunting and Gathering,asis,"MD,VA",Assateague Island National Seashore
Hunting and Gathering,bela,AK,Bering Land Bridge National Preserve
Hunting and Gathering,bica,"MT,WY",Bighorn Canyon National Recreation Area
Hunting and Gathering,bicy,FL,Big Cypress National Preserve
Hunting and Gathering,biso,"KY,TN",Big South Fork National River & Recreation Area
Hunting and Gathering,bith,TX,Big Thicket National Preserve
Hunting and Gathering,blue,WV,Bluestone National Scenic River
Hunting and Gathering,buff,AR,Buffalo National River
Hunting and Gathering,caco,MA,Cape Cod National Seashore
Hunting and Gathering,caha,NC,Cape Hatteras National Seashore
Hunting and Gathering,calo,NC,Cape Lookout National Seashore
Hunting and Gathering,chic,OK,Chickasaw National Recreation Area
Hunting and Gathering,ciro,ID,City Of Rocks National Reserve
Hunting and Gathering,cuis,GA,Cumberland Island National Seashore
Hunting and Gathering,cure,CO,Curecanti National Recreation Area
Hunting and Gathering,dena,AK,Denali National Park & Preserve
Hunting and Gathering,dewa,"NJ,PA",Delaware Water Gap National Recreation Area
Hunting and Gathering,elma,NM,El Malpais National Monument
Hunting and Gathering,fiis,NY,Fire Island National Seashore
Hunting and Gathering,gaar,AK,Gates Of The Arctic National Park & Preserve
Hunting and Gathering,glba,AK,Glacier Bay National Park & Preserve
Hunting and Gathering,grba,NV,Great Basin National Park
Hunting and Gathering,greg,NJ,Great Egg Harbor River
Hunting and Gathering,grsa,CO,Great Sand Dunes National Park & Preserve
Hunting and Gathering,grte,WY,Grand Teton National Park
Hunting and Gathering,guis,"FL,MS",Gulf Islands National Seashore
Hunting and Gathering,hofu,PA,Hopewell Furnace National Historic Site
Hunting and Gathering,inup,AK,Iñupiat Heritage Center
Hunting and Gathering,jela,LA,Jean Lafitte National Historical Park and Preserve
Hunting and Gathering,katm,AK,Katmai National Park & Preserve
Hunting and Gathering,kaww,ME,Katahdin Woods and Waters National Monument
Hunting and Gathering,lacl,AK,Lake Clark National Park & Preserve
Hunting and Gathering,lake,"AZ,NV",Lake Mead National Recreation Area
Hunting and Gathering,lamr,TX,Lake Meredith National Recreation Area
Hunting and Gathering,laro,WA,Lake Roosevelt National Recreation Area
Hunting and Gathering,lewi,"OR,WA",Lewis and Clark National Historical Park
Hunting and Gathering,liri,AL,Little River Canyon National Preserve
Hunting and Gathering,miss,MN,Mississippi National River & Recreation Area
Hunting and Gathering,mnrr,"SD,NE",Missouri National Recreational River
Hunting and Gathering,moja,CA,Mojave National Preserve
Hunting and Gathering,neri,WV,New River Gorge National Park & Preserve
Hunting and Gathering,niob,NE,Niobrara National Scenic River
Hunting and Gathering,noat,AK,Noatak National Preserve
Hunting and Gathering,obed,TN,Obed Wild & Scenic River
Hunting and Gathering,orca,OR,Oregon Caves National Monument & Preserve
Hunting and Gathering,ozar,MO,Ozark National Scenic Riverways
Hunting and Gathering,piro,MI,Pictured Rocks National Lakeshore
Hunting and Gathering,prwi,VA,Prince William Forest Park
Hunting and Gathering,sacn,"WI,MN",Saint Croix National Scenic Riverway
Hunting and Gathering,sajh,WA,San Juan Island National Historical Park
Hunting and Gathering,shen,VA,Shenandoah National Park
Hunting and Gathering,sitk,AK,Sitka National Historical Park
Hunting and Gathering,slbe,MI,Sleeping Bear Dunes National Lakeshore
Hunting and Gathering,vall,NM,Valles Caldera National Preserve
Hunting and Gathering,whis,CA,Whiskeytown National Recreation Area
Hunting and Gathering,wrst,AK,Wrangell - St Elias National Park & Preserve
Hunting and Gathering,yuch,AK,Yukon - Charley Rivers National Preserve
Ice Skating,acad,ME,Acadia National Park
Ice Skating,choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park
Ice Skating,ciro,ID,City Of Rocks National Reserve
Ice Skating,cure,CO,Curecanti National Recreation Area
Ice Skating,yose,CA,Yosemite National Park
Junior Ranger Program,abli,KY,Abraham Lincoln Birthplace National Historical Park
Junior Ranger Program,acad,ME,Acadia National Park
Junior Ranger Program,adam,MA,Adams National Historical Park
Junior Ranger Program,afbg,NY,African Burial Ground National Monument
Junior Ranger Program,agfo,NE,Agate Fossil Beds National Monument
Junior Ranger Program,aleu,AK,Aleutian Islands World War II National Historic Area
Junior Ranger Program,alfl,TX,Alibates Flint Quarries National Monument
Junior Ranger Program,alka,HI,Ala Kahakai National Historic Trail
Junior Ranger Program,alpo,PA,Allegheny Portage Railroad National Historic Site
Junior Ranger Program,amis,TX,Amistad National Recreation Area
Junior Ranger Program,amme,MP,American Memorial Park
Junior Ranger Program,ande,GA,Andersonville National Historic Site
Junior Ranger Program,anjo,TN,Andrew Johnson National Historic Site
Junior Ranger Program,anti,MD,Antietam National Battlefield
Junior Ranger Program,apco,VA,Appomattox Court House National Historical Park
Junior Ranger Program,apis,WI,Apostle Islands National Lakeshore
Junior Ranger Program,appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",Appalachian National Scenic Trail
Junior Ranger Program,arch,UT,Arches National Park
Junior Ranger Program,arpo,AR,Arkansas Post National Memorial
Junior Ranger Program,asis,"MD,VA",Assateague Island National Seashore
Junior Ranger Program,azru,NM,Aztec Ruins National Monument
Junior Ranger Program,badl,SD,Badlands National Park
Junior Ranger Program,band,NM,Bandelier National Monument
Junior Ranger Program,bela,AK,Bering Land Bridge National Preserve
Junior Ranger Program,beol,CO,Bent's Old Fort National Historic Site
Junior Ranger Program,bepa,DC,Belmont-Paul Women's Equality National Monument
Junior Ranger Program,bibe,TX,Big Bend National Park
Junior Ranger Program,bica,"MT,WY",Bighorn Canyon National Recreation Area
Junior Ranger Program,bicy,FL,Big Cypress National Preserve
Junior Ranger Program,biho,MT,Big Hole National Battlefield
Junior Ranger Program,bisc,FL,Biscayne National Park
Junior Ranger Program,biso,"KY,TN",Big South Fork National River & Recreation Area
Junior Ranger Program,bith,TX,Big Thicket National Preserve
Junior Ranger Program,blca,CO,Black Canyon Of The Gunnison National Park
Junior Ranger Program,blri,"NC,VA",Blue Ridge Parkway
Junior Ranger Program,blrv,"RI,MA",Blackstone River Valley National Historical Park
Junior Ranger Program,blue,WV,Bluestone National Scenic River
Junior Ranger Program,boaf,MA,Boston African American National Historic Site
Junior Ranger Program,boha,MA,Boston Harbor Islands National Recreation Area
Junior Ranger Program,bost,MA,Boston National Historical Park
Junior Ranger Program,bowa,VA,Booker T Washington National Monument
Junior Ranger Program,brca,UT,Bryce Canyon National Park
Junior Ranger Program,buff,AR,Buffalo National River
Junior Ranger Program,cabr,CA,Cabrillo National Monument
Junior Ranger Program,cach,AZ,Canyon de Chelly National Monument
Junior Ranger Program,cacl,NY,Castle Clinton National Monument
Junior Ranger Program,caco,MA,Cape Cod National Seashore
Junior Ranger Program,cagr,AZ,Casa Grande Ruins National Monument
Junior Ranger Program,caha,NC,Cape Hatteras National Seashore
Junior Ranger Program,cahi,DC,Capitol Hill Parks
Junior Ranger Program,cajo,"VA,MD,DE,DC,PA,NY",Captain John Smith Chesapeake National Historic Trail
Junior Ranger Program,cakr,AK,Cape Krusenstern National Monument
Junior Ranger Program,cali,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",California National Historic Trail
Junior Ranger Program,calo,NC,Cape Lookout National Seashore
Junior Ranger Program,cana,FL,Canaveral National Seashore
Junior Ranger Program,cane,KY,Camp Nelson National Monument
Junior Ranger Program,cany,UT,Canyonlands National Park
Junior Ranger Program,care,UT,Capitol Reef National Park
Junior Ranger Program,cari,LA,Cane River Creole National Historical Park
Junior Ranger Program,casa,FL,Castillo de San Marcos National Monument
Junior Ranger Program,cato,MD,Catoctin Mountain Park
Junior Ranger Program,cave,NM,Carlsbad Caverns National Park
Junior Ranger Program,cavo,NM,Capulin Volcano National Monument
Junior Ranger Program,cawo,DC,Carter G. Woodson Home National Historic Site
Junior Ranger Program,cbpo,"DC,DE,MD,NY,PA,VA,WV",Chesapeake Bay
Junior Ranger Program,cebe,VA,Cedar Creek & Belle Grove National Historical Park
Junior Ranger Program,cebr,UT,Cedar Breaks National Monument
Junior Ranger Program,cham,TX,Chamizal National Memorial
Junior Ranger Program,chat,GA,Chattahoochee River National Recreation Area
Junior Ranger Program,chch,"GA,TN",Chickamauga & Chattanooga National Military Park
Junior Ranger Program,chcu,NM,Chaco Culture National Historical Park
Junior Ranger Program,chic,OK,Chickasaw National Recreation Area
Junior Ranger Program,chir,AZ,Chiricahua National Monument
Junior Ranger Program,chis,CA,Channel Islands National Park
Junior Ranger Program,choh,"DC,MD,WV",Chesapeake & Ohio Canal National Historical Park
Junior Ranger Program,chpi,SC,Charles Pinckney National Historic Site
Junior Ranger Program,chri,VI,Christiansted National Historic Site
Junior Ranger Program,chsc,AR,Little Rock Central High School National Historic Site
Junior Ranger Program,chyo,OH,Charles Young Buffalo Soldiers National Monument
Junior Ranger Program,ciro,ID,City Of Rocks National Reserve
Junior Ranger Program,coga,DC,Constitution Gardens
Junior Ranger Program,colm,CO,Colorado National Monument
Junior Ranger Program,colo,VA,Colonial National Historical Park
Junior Ranger Program,cong,SC,Congaree National Park
Junior Ranger Program,coro,AZ,Coronado National Memorial
Junior Ranger Program,cowp,SC,Cowpens National Battlefield
Junior Ranger Program,crla,OR,Crater Lake National Park
Junior Ranger Program,crmo,ID,Craters Of The Moon National Monument & Preserve
Junior Ranger Program,cure,CO,Curecanti National Recreation Area
Junior Ranger Program,cuva,OH,Cuyahoga Valley National Park
Junior Ranger Program,cwdw,"DC,MD,VA",Civil War Defenses of Washington
Junior Ranger Program,daav,OH,Dayton Aviation Heritage National Historical Park
Junior Ranger Program,dena,AK,Denali National Park & Preserve
Junior Ranger Program,depo,CA,Devils Postpile National Monument
Junior Ranger Program,deto,WY,Devils Tower National Monument
Junior Ranger Program,deva,"CA,NV",Death Valley National Park
Junior Ranger Program,dewa,"NJ,PA",Delaware Water Gap National Recreation Area
Junior Ranger Program,dino,"CO,UT",Dinosaur National Monument
Junior Ranger Program,drto,FL,Dry Tortugas National Park
Junior Ranger Program,ebla,WA,Ebey's Landing National Historical Reserve
Junior Ranger Program,edal,PA,Edgar Allan Poe National Historic Site
Junior Ranger Program,edis,NJ,Thomas Edison National Historical Park
Junior Ranger Program,efmo,IA,Effigy Mounds National Monument
Junior Ranger Program,eise,PA,Eisenhower National Historic Site
Junior Ranger Program,elca,"NM,TX",El Camino Real de Tierra Adentro National Historic Trail
Junior Ranger Program,elis,"NJ,NY",Ellis Island Part of Statue of Liberty National Monument
Junior Ranger Program,elma,NM,El Malpais National Monument
Junior Ranger Program,elmo,NM,El Morro National Monument
Junior Ranger Program,elte,"TX,LA",El Camino Real de los Tejas National Historic Trail
Junior Ranger Program,euon,CA,Eugene O'Neill National Historic Site
Junior Ranger Program,ever,FL,Everglades National Park
Junior Ranger Program,feha,NY,Federal Hall National Memorial
Junior Ranger Program,fiis,NY,Fire Island National Seashore
Junior Ranger Program,flfo,CO,Florissant Fossil Beds National Monument
Junior Ranger Program,flni,PA,Flight 93 National Memorial
Junior Ranger Program,fobo,AZ,Fort Bowie National Historic Site
Junior Ranger Program,fobu,WY,Fossil Butte National Monument
Junior Ranger Program,foda,TX,Fort Davis National Historic Site
Junior Ranger Program,fodo,"KY,TN",Fort Donelson National Battlefield
Junior Ranger Program,fodu,DC,Fort Dupont Park
Junior Ranger Program,fofr,GA,Fort Frederica National Monument
Junior Ranger Program,fola,WY,Fort Laramie National Historic Site
Junior Ranger Program,fols,KS,Fort Larned National Historic Site
Junior Ranger Program,foma,FL,Fort Matanzas National Monument
Junior Ranger Program,fomc,MD,Fort McHenry National Monument and Historic Shrine
Junior Ranger Program,fone,PA,Fort Necessity National Battlefield
Junior Ranger Program,fopu,GA,Fort Pulaski National Monument
Junior Ranger Program,fora,NC,Fort Raleigh National Historic Site
Junior Ranger Program,fosc,KS,Fort Scott National Historic Site
Junior Ranger Program,fosm,"AR,OK",Fort Smith National Historic Site
Junior Ranger Program,fost,NY,Fort Stanwix National Monument
Junior Ranger Program,fosu,SC,Fort Sumter and Fort Moultrie National Historical Park
Junior Ranger Program,foth,DC,Ford's Theatre National Historic Site
Junior Ranger Program,foun,NM,Fort Union National Monument
Junior Ranger Program,fous,"MT,ND",Fort Union Trading Post National Historic Site
Junior Ranger Program,fova,"OR,WA",Fort Vancouver National Historic Site
Junior Ranger Program,frde,DC,Franklin Delano Roosevelt Memorial
Junior Ranger Program,frdo,DC,Frederick Douglass National Historic Site
Junior Ranger Program,frhi,PA,Friendship Hill National Historic Site
Junior Ranger Program,frla,MA,Frederick Law Olmsted National Historic Site
Junior Ranger Program,frri,AL,Freedom Riders National Monument
Junior Ranger Program,frsp,VA,Fredericksburg & Spotsylvania National Military Park
Junior Ranger Program,frst,"DE,PA",First State National Historical Park
Junior Ranger Program,gaar,AK,Gates Of The Arctic National Park & Preserve
Junior Ranger Program,gari,WV,Gauley River National Recreation Area
Junior Ranger Program,gegr,NY,General Grant National Memorial
Junior Ranger Program,gero,IN,George Rogers Clark National Historical Park
Junior Ranger Program,gett,PA,Gettysburg National Military Park
Junior Ranger Program,gewa,VA,George Washington Birthplace National Monument
Junior Ranger Program,gicl,NM,Gila Cliff Dwellings National Monument
Junior Ranger Program,glac,MT,Glacier National Park
Junior Ranger Program,glba,AK,Glacier Bay National Park & Preserve
Junior Ranger Program,glca,"AZ,UT",Glen Canyon National Recreation Area
Junior Ranger Program,goga,CA,Golden Gate National Recreation Area
Junior Ranger Program,gois,NY,Governors Island National Monument
Junior Ranger Program,gosp,UT,Golden Spike National Historical Park
Junior Ranger Program,grba,NV,Great Basin National Park
Junior Ranger Program,grca,AZ,Grand Canyon National Park
Junior Ranger Program,gree,MD,Greenbelt Park
Junior Ranger Program,grko,MT,Grant-Kohrs Ranch National Historic Site
Junior Ranger Program,grpo,MN,Grand Portage National Monument
Junior Ranger Program,grsa,CO,Great Sand Dunes National Park & Preserve
Junior Ranger Program,grsm,"NC,TN",Great Smoky Mountains National Park
Junior Ranger Program,grte,WY,Grand Teton National Park
Junior Ranger Program,guco,NC,Guilford Courthouse National Military Park
Junior Ranger Program,gumo,TX,Guadalupe Mountains National Park
Junior Ranger Program,gwca,MO,George Washington Carver National Monument
Junior Ranger Program,hafe,"WV,VA,MD",Harpers Ferry National Historical Park
Junior Ranger Program,hafo,ID,Hagerman Fossil Beds National Monument
Junior Ranger Program,hagr,NY,Hamilton Grange National Memorial
Junior Ranger Program,hale,HI,Haleakalā National Park
Junior Ranger Program,hamp,MD,Hampton National Historic Site
Junior Ranger Program,havo,HI,Hawaiʻi Volcanoes National Park
Junior Ranger Program,heho,IA,Herbert Hoover National Historic Site
Junior Ranger Program,hobe,AL,Horseshoe Bend National Military Park
Junior Ranger Program,hocu,OH,Hopewell Culture National Historical Park
Junior Ranger Program,hofr,NY,Home Of Franklin D Roosevelt National Historic Site
Junior Ranger Program,hofu,PA,Hopewell Furnace National Historic Site
Junior Ranger Program,home,NE,Homestead National Historical Park
Junior Ranger Program,hosp,AR,Hot Springs National Park
Junior Ranger Program,hove,"CO,UT",Hovenweep National Monument
Junior Ranger Program,hstr,MO,Harry S Truman National Historic Site
Junior Ranger Program,hutr,AZ,Hubbell Trading Post National Historic Site
Junior Ranger Program,iafl,"WA,OR,ID,MT",Ice Age Floods National Geologic Trail
Junior Ranger Program,inde,PA,Independence National Historical Park
Junior Ranger Program,indu,IN,Indiana Dunes National Park
Junior Ranger Program,isro,MI,Isle Royale National Park
Junior Ranger Program,jaga,OH,James A Garfield National Historic Site
Junior Ranger Program,jame,VA,Historic Jamestowne Part of Colonial National Historical Park
Junior Ranger Program,jazz,LA,New Orleans Jazz National Historical Park
Junior Ranger Program,jeca,SD,Jewel Cave National Monument
Junior Ranger Program,jeff,MO,Gateway Arch National Park
Junior Ranger Program,jela,LA,Jean Lafitte National Historical Park and Preserve
Junior Ranger Program,jica,GA,Jimmy Carter National Historical Park
Junior Ranger Program,joda,OR,John Day Fossil Beds National Monument
Junior Ranger Program,jofi,MA,John Fitzgerald Kennedy National Historic Site
Junior Ranger Program,jofl,PA,Johnstown Flood National Memorial
Junior Ranger Program,jomu,CA,John Muir National Historic Site
Junior Ranger Program,jotr,CA,Joshua Tree National Park
Junior Ranger Program,juba,"AZ,CA",Juan Bautista de Anza National Historic Trail
Junior Ranger Program,kaho,HI,Kaloko-Honokōhau National Historical Park
Junior Ranger Program,katm,AK,Katmai National Park & Preserve
Junior Ranger Program,kaww,ME,Katahdin Woods and Waters National Monument
Junior Ranger Program,keaq,DC,Kenilworth Park & Aquatic Gardens
Junior Ranger Program,kefj,AK,Kenai Fjords National Park
Junior Ranger Program,kemo,GA,Kennesaw Mountain National Battlefield Park
Junior Ranger Program,kewe,MI,Keweenaw National Historical Park
Junior Ranger Program,kimo,SC,Kings Mountain National Military Park
Junior Ranger Program,klgo,AK,Klondike Gold Rush National Historical Park
Junior Ranger Program,knri,ND,Knife River Indian Villages National Historic Site
Junior Ranger Program,kova,AK,Kobuk Valley National Park
Junior Ranger Program,kowa,DC,Korean War Veterans Memorial
Junior Ranger Program,labe,CA,Lava Beds National Monument
Junior Ranger Program,lacl,AK,Lake Clark National Park & Preserve
Junior Ranger Program,lake,"AZ,NV",Lake Mead National Recreation Area
Junior Ranger Program,lamr,TX,Lake Meredith National Recreation Area
Junior Ranger Program,laro,WA,Lake Roosevelt National Recreation Area
Junior Ranger Program,lavo,CA,Lassen Volcanic National Park
Junior Ranger Program,lecl,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",Lewis & Clark National Historic Trail
Junior Ranger Program,lewi,"OR,WA",Lewis and Clark National Historical Park
Junior Ranger Program,libi,MT,Little Bighorn Battlefield National Monument
Junior Ranger Program,libo,IN,Lincoln Boyhood National Memorial
Junior Ranger Program,liho,IL,Lincoln Home National Historic Site
Junior Ranger Program,linc,DC,Lincoln Memorial
Junior Ranger Program,liri,AL,Little River Canyon National Preserve
Junior Ranger Program,lode,"PA,NJ",Lower Delaware National Wild and Scenic River
Junior Ranger Program,long,MA,Longfellow House Washington's Headquarters National Historic Site
Junior Ranger Program,lowe,MA,Lowell National Historical Park
Junior Ranger Program,lyjo,TX,Lyndon B Johnson National Historical Park
Junior Ranger Program,mabi,VT,Marsh - Billings - Rockefeller National Historical Park
Junior Ranger Program,maca,KY,Mammoth Cave National Park
Junior Ranger Program,malu,GA,"Martin Luther King, Jr. National Historical Park"
Junior Ranger Program,mamc,DC,Mary McLeod Bethune Council House National Historic Site
Junior Ranger Program,mana,VA,Manassas National Battlefield Park
Junior Ranger Program,manz,CA,Manzanar National Historic Site
Junior Ranger Program,mapr,"NM,WA,TN",Manhattan Project National Historical Park
Junior Ranger Program,mava,NY,Martin Van Buren National Historic Site
Junior Ranger Program,mawa,VA,Maggie L Walker National Historic Site
Junior Ranger Program,meve,CO,Mesa Verde National Park
Junior Ranger Program,miin,"ID,WA",Minidoka National Historic Site
Junior Ranger Program,mima,MA,Minute Man National Historical Park
Junior Ranger Program,mimi,SD,Minuteman Missile National Historic Site
Junior Ranger Program,misp,KY,Mill Springs Battlefield National Monument
Junior Ranger Program,miss,MN,Mississippi National River & Recreation Area
Junior Ranger Program,mlkm,DC,"Martin Luther King, Jr. Memorial"
Junior Ranger Program,mnrr,"SD,NE",Missouri National Recreational River
Junior Ranger Program,moca,AZ,Montezuma Castle National Monument
Junior Ranger Program,mocr,NC,Moores Creek National Battlefield
Junior Ranger Program,moja,CA,Mojave National Preserve
Junior Ranger Program,mono,MD,Monocacy National Battlefield
Junior Ranger Program,mopi,"IL,IA,NE,UT,WY",Mormon Pioneer National Historic Trail
Junior Ranger Program,mora,WA,Mount Rainier National Park
Junior Ranger Program,morr,NJ,Morristown National Historical Park
Junior Ranger Program,moru,SD,Mount Rushmore National Memorial
Junior Ranger Program,muwo,CA,Muir Woods National Monument
Junior Ranger Program,nabr,UT,Natural Bridges National Monument
Junior Ranger Program,nama,DC,National Mall and Memorial Parks
Junior Ranger Program,natr,"AL,MS,TN",Natchez Trace Parkway
Junior Ranger Program,nava,AZ,Navajo National Monument
Junior Ranger Program,nebe,MA,New Bedford Whaling National Historical Park
Junior Ranger Program,nepe,"ID,MT,OR,WA",Nez Perce National Historical Park
Junior Ranger Program,neri,WV,New River Gorge National Park & Preserve
Junior Ranger Program,nico,KS,Nicodemus National Historic Site
Junior Ranger Program,niob,NE,Niobrara National Scenic River
Junior Ranger Program,nisi,SC,Ninety Six National Historic Site
Junior Ranger Program,noat,AK,Noatak National Preserve
Junior Ranger Program,noca,WA,North Cascades National Park
Junior Ranger Program,npnh,NY,National Parks of New York Harbor
Junior Ranger Program,obed,TN,Obed Wild & Scenic River
Junior Ranger Program,ocmu,GA,Ocmulgee Mounds National Historical Park
Junior Ranger Program,okci,OK,Oklahoma City National Memorial
Junior Ranger Program,olym,WA,Olympic National Park
Junior Ranger Program,orca,OR,Oregon Caves National Monument & Preserve
Junior Ranger Program,oreg,"ID,KS,MO,NE,OR,WA,WY",Oregon National Historic Trail
Junior Ranger Program,orpi,AZ,Organ Pipe Cactus National Monument
Junior Ranger Program,ovvi,"NC,SC,TN,VA",Overmountain Victory National Historic Trail
Junior Ranger Program,oxhi,MD,Oxon Cove  Park & Oxon Hill Farm
Junior Ranger Program,ozar,MO,Ozark National Scenic Riverways
Junior Ranger Program,paal,TX,Palo Alto Battlefield National Historical Park
Junior Ranger Program,paav,DC,Pennsylvania Avenue
Junior Ranger Program,pagr,NJ,Paterson Great Falls National Historical Park
Junior Ranger Program,pais,TX,Padre Island National Seashore
Junior Ranger Program,para,AZ,Grand Canyon-Parashant National Monument
Junior Ranger Program,peco,NM,Pecos National Historical Park
Junior Ranger Program,pefo,AZ,Petrified Forest National Park
Junior Ranger Program,peri,AR,Pea Ridge National Military Park
Junior Ranger Program,pete,VA,Petersburg National Battlefield
Junior Ranger Program,petr,NM,Petroglyph National Monument
Junior Ranger Program,pevi,OH,Perry's Victory & International Peace Memorial
Junior Ranger Program,pinn,CA,Pinnacles National Park
Junior Ranger Program,pipe,MN,Pipestone National Monument
Junior Ranger Program,piro,MI,Pictured Rocks National Lakeshore
Junior Ranger Program,pisp,AZ,Pipe Spring National Monument
Junior Ranger Program,poex,"CA,CO,KS,MO,NE,NV,UT,WY",Pony Express National Historic Trail
Junior Ranger Program,pohe,"DC,MD,PA,VA",Potomac Heritage National Scenic Trail
Junior Ranger Program,pore,CA,Point Reyes National Seashore
Junior Ranger Program,prwi,VA,Prince William Forest Park
Junior Ranger Program,puhe,HI,Puʻukoholā Heiau National Historic Site
Junior Ranger Program,puho,HI,Puʻuhonua o Hōnaunau National Historical Park
Junior Ranger Program,rabr,UT,Rainbow Bridge National Monument
Junior Ranger Program,redw,CA,Redwood National and State Parks
Junior Ranger Program,reer,SC,Reconstruction Era National Historical Park
Junior Ranger Program,rich,VA,Richmond National Battlefield Park
Junior Ranger Program,rira,MI,River Raisin National Battlefield Park
Junior Ranger Program,rocr,DC,Rock Creek Park
Junior Ranger Program,romo,CO,Rocky Mountain National Park
Junior Ranger Program,rori,CA,Rosie the Riveter WWII Home Front National Historical Park
Junior Ranger Program,rowi,RI,Roger Williams National Memorial
Junior Ranger Program,ruca,AL,Russell Cave National Monument
Junior Ranger Program,saan,TX,San Antonio Missions National Historical Park
Junior Ranger Program,sacn,"WI,MN",Saint Croix National Scenic Riverway
Junior Ranger Program,sacr,ME,Saint Croix Island International Historic Site
Junior Ranger Program,safe,"CO,KS,MO,NM,OK",Santa Fe National Historic Trail
Junior Ranger Program,safr,CA,San Francisco Maritime National Historical Park
Junior Ranger Program,saga,NH,Saint-Gaudens National Historical Park
Junior Ranger Program,sagu,AZ,Saguaro National Park
Junior Ranger Program,sahi,NY,Sagamore Hill National Historic Site
Junior Ranger Program,sair,MA,Saugus Iron Works National Historic Site
Junior Ranger Program,sajh,WA,San Juan Island National Historical Park
Junior Ranger Program,saju,PR,San Juan National Historic Site
Junior Ranger Program,sama,MA,Salem Maritime National Historical Park
Junior Ranger Program,samo,CA,Santa Monica Mountains National Recreation Area
Junior Ranger Program,sapu,NM,Salinas Pueblo Missions National Monument
Junior Ranger Program,sara,NY,Saratoga National Historical Park
Junior Ranger Program,scbl,NE,Scotts Bluff National Monument
Junior Ranger Program,seki,CA,Sequoia & Kings Canyon National Parks
Junior Ranger Program,semo,AL,Selma To Montgomery National Historic Trail
Junior Ranger Program,shen,VA,Shenandoah National Park
Junior Ranger Program,shil,"TN,MS",Shiloh National Military Park
Junior Ranger Program,sitk,AK,Sitka National Historical Park
Junior Ranger Program,slbe,MI,Sleeping Bear Dunes National Lakeshore
Junior Ranger Program,spar,MA,Springfield Armory National Historic Site
Junior Ranger Program,stea,PA,Steamtown National Historic Site
Junior Ranger Program,stge,MO,Ste. Geneviève National Historical Park
Junior Ranger Program,stli,NY,Statue Of Liberty National Monument
Junior Ranger Program,stri,TN,Stones River National Battlefield
Junior Ranger Program,stsp,"DC,MD,VA",Star-Spangled Banner National Historic Trail
Junior Ranger Program,sucr,AZ,Sunset Crater Volcano National Monument
Junior Ranger Program,tapr,KS,Tallgrass Prairie National Preserve
Junior Ranger Program,thje,DC,Thomas Jefferson Memorial
Junior Ranger Program,thko,PA,Thaddeus Kosciuszko National Memorial
Junior Ranger Program,thrb,NY,Theodore Roosevelt Birthplace National Historic Site
Junior Ranger Program,thri,NY,Theodore Roosevelt Inaugural National Historic Site
Junior Ranger Program,thro,ND,Theodore Roosevelt National Park
Junior Ranger Program,thst,MD,Thomas Stone National Historic Site
Junior Ranger Program,tica,UT,Timpanogos Cave National Monument
Junior Ranger Program,timu,FL,Timucuan Ecological & Historic Preserve
Junior Ranger Program,tont,AZ,Tonto National Monument
Junior Ranger Program,trte,"AL,AR,GA,IL,KY,MO,NC,OK,TN",Trail Of Tears National Historic Trail
Junior Ranger Program,tuin,AL,Tuskegee Institute National Historic Site
Junior Ranger Program,tuma,AZ,Tumacácori National Historical Park
Junior Ranger Program,tusk,NV,Tule Springs Fossil Beds National Monument
